Gender,Height,Weight
female,67.36436,140.8901
female,70.09297,131.5916
male,70.1766,121.1232
male,68.22556,131.5127
male,68.12932,136.5479
female,70.24256,141.4896
male,71.48752,140.6104
female,69.20477,112.1413
male,70.06306,133.457
female,70.55703,131.8001
male,66.28644,120.0285
female,63.42577,123.0972
female,66.76711,128.1432
female,68.88741,115.4759
male,64.87434,102.0927
male,67.09272,130.353
male,68.34761,134.1842
female,65.61073,98.64133
male,67.75551,114.5599
female,68.0212,123.4917
male,67.66193,123.048
female,66.3146,126.4772
male,69.43706,128.417
female,63.83624,127.1941
female,67.72277,122.0562
female,70.05098,127.6064
male,70.18602,131.6423
male,65.94588,111.8955
male,70.007,122.039
female,68.61129,128.5547
male,68.80817,132.6792
female,69.76212,136.0632
male,65.45539,115.9403
female,68.82534,136.9041
male,65.8003,119.8804
female,67.21474,109.0055
female,69.42021,128.2705
female,68.94396,135.2913
male,67.9415,106.8558
male,65.62506,123.2939
male,66.49607,109.5143
female,67.92809,119.3087
male,68.89415,140.2402
female,70.241,133.9841
male,68.26623,132.5807
female,71.23161,130.6988
male,69.09747,115.5637
female,64.39693,123.7941
female,71.09585,128.1427
female,68.21868,135.9646
male,65.91721,116.6273
male,67.4369,126.8241
male,73.90107,151.3913
female,69.98149,130.4022
male,69.51862,136.2068
female,65.18437,113.3989
male,68.00869,125.3287
female,68.3384,127.5846
male,65.18417,107.1564
female,68.26209,116.4588
female,68.56865,133.8402
female,64.49675,112.8901
male,68.71053,130.7568
male,68.89148,137.7571
male,69.54011,125.4036
female,67.39964,138.4659
male,66.47521,120.8184
female,66.01217,140.1539
male,72.44434,136.7397
female,64.12642,106.1139
male,70.98112,158.9562
female,67.50124,108.7868
female,72.01515,138.7758
female,65.31143,115.9136
male,67.07509,146.2922
male,64.39148,109.8765
male,69.37003,139.0499
female,68.37921,119.9001
male,65.31018,128.3069
female,67.1369,127.2428
male,68.39468,115.2306
female,66.2918,124.7975
male,67.1866,126.9511
female,65.99156,111.2711
female,69.43393,122.6089
female,67.97463,124.2084
male,67.76133,124.6453
male,65.27864,119.5169
male,73.83364,139.2983
female,66.81312,104.8265
male,66.89411,123.0424
female,65.73568,118.8923
male,65.98283,121.4939
female,66.58396,119.2488
male,67.11294,135.0239
female,65.87481,116.228
female,66.78067,109.1731
female,68.73577,124.2237
male,66.22666,141.1645
male,65.95968,129.1501
male,68.58372,127.8693
female,66.59347,120.9244
male,66.96574,127.6466
female,68.08015,101.4693
male,70.19025,144.9927
female,65.52149,110.9523
male,67.45905,132.8625
female,67.40985,146.3385
female,69.66158,145.5894
female,65.79799,120.8431
male,66.10558,115.7813
male,68.23987,128.3019
male,68.02403,127.4718
female,71.39044,127.8761
male,65.7316,121.4997
female,66.43358,112.7148
male,70.01309,135.002
female,69.48146,128.6789
male,68.62764,124.4062
female,68.36275,140.026
female,68.39028,117.519
female,68.77413,143.8737
male,69.9236,141.1703
male,71.55542,155.9414
male,68.44764,134.0093
female,66.71398,130.0975
male,66.68413,106.2265
female,67.93699,112.0489
male,68.89855,136.1884
female,67.29191,131.236
male,69.57212,131.3231
female,67.67479,119.5261
female,69.04155,116.9965
female,67.96765,138.5255
male,65.83982,109.6518
male,65.77288,130.1569
male,71.14106,137.1114
female,67.83055,113.759
male,65.0693,114.9725
female,69.70745,127.7149
male,69.92983,121.9972
female,66.11569,117.9607
male,68.61364,127.7141
female,68.9976,117.9619
female,66.79171,125.1554
female,68.02363,141.1026
male,69.67258,145.4822
male,71.82178,116.065
male,72.74676,135.7458
female,67.27951,132.9248
male,67.41015,115.6622
female,68.5315,114.3184
male,68.47126,148.952
female,68.51867,142.1878
male,63.72529,134.104
female,67.70483,141.8926
female,69.47115,138.7444
female,66.70198,134.449
male,65.23126,117.0167
male,69.89473,115.6752
male,69.83048,134.7905
female,65.3979,120.5746
male,68.32214,120.0835
female,65.93895,84.3598
male,70.09805,138.9394
female,66.05531,143.5245
male,68.23481,123.1347
female,65.21758,115.5261
female,69.16173,120.9844
female,67.60064,120.6473
male,67.28621,124.0352
male,66.84323,117.2238
male,68.08281,127.9598
female,66.56991,116.7527
male,70.16973,121.9957
female,67.85113,123.9952
male,66.62309,108.855
female,63.68816,104.6574
male,68.0356,132.248
female,66.941,127.1834
female,66.26292,125.1209
female,70.7301,133.322
male,70.70844,122.3364
male,73.26872,130.2636
male,63.79021,116.7431
female,67.84109,125.8534
male,67.78058,100.627
female,67.23901,118.4945
male,66.75701,137.1255
female,69.03098,118.6991
male,68.52652,124.1641
female,64.65419,124.9442
female,65.14295,126.3889
female,66.74124,121.5255
male,66.99923,133.2951
male,70.26611,127.4072
male,67.57666,125.08
female,66.30582,102.8114
male,68.90702,134.2212
female,65.60543,100.9758
male,68.00189,145.8886
female,69.93715,155.3046
male,70.1459,138.7175
female,66.66364,116.2611
female,69.40676,120.6087
female,66.80598,114.4083
male,67.70048,133.3406
male,69.13438,92.74955
male,67.53769,131.7825
female,65.77912,118.3865
male,66.25769,131.1466
female,67.39038,130.2033
male,64.94327,129.1836
female,69.25699,143.1445
male,69.07739,138.7307
female,69.64403,130.9528
female,69.07705,124.3032
female,68.01304,135.3702
male,68.85664,124.1988
male,63.19158,111.2389
male,65.57591,129.4037
female,69.12101,127.7444
male,69.78765,121.3311
female,67.48203,118.2183
male,69.08809,123.3441
female,68.5529,151.9118
male,68.21327,115.3108
female,67.1012,122.3844
female,71.23661,129.2323
female,69.11946,138.2824
male,65.49848,144.0565
male,66.58706,120.8482
male,67.99831,113.3034
female,72.57747,149.3227
male,67.97585,130.6373
female,66.62347,122.387
male,67.29574,133.8677
female,65.95951,134.8336
male,66.54011,137.8363
female,68.07723,112.6812
female,65.83291,121.1964
female,69.23721,114.9262
male,64.69413,110.3762
male,69.21372,126.0337
male,67.16792,118.7008
female,67.8467,119.3108
male,69.27389,150.7397
female,67.90547,121.1142
male,67.076,118.4065
female,70.01531,142.759
male,70.05454,145.6305
female,70.86714,127.3425
female,66.0586,115.9678
female,65.23745,104.4441
male,68.7413,138.4905
male,69.51946,145.5049
male,70.30764,124.4065
female,67.29982,124.1866
male,67.60582,126.1659
female,67.85566,138.8125
male,66.46536,121.5515
female,68.92071,114.2555
male,68.46886,129.4022
female,69.5193,137.5583
female,70.23956,134.4996
female,67.85651,127.7103
male,68.00435,115.6709
male,67.13983,131.5906
male,68.09931,127.5839
female,68.99077,125.7211
male,69.32618,119.9885
female,70.09286,140.8676
male,68.74304,136.9164
female,64.18633,118.4759
male,66.09074,129.5516
female,69.24418,152.0714
female,69.66512,120.8646
female,68.42721,136.1027
male,68.28613,130.0611
male,69.37684,131.7743
male,68.35315,139.38
female,72.32489,168.229
male,70.37159,127.6446
female,65.72927,131.8008
male,66.49627,122.8561
female,70.81339,140.2133
male,67.37579,142.6929
female,67.79709,137.4299
female,68.1607,126.0392
female,68.85782,143.5985
male,67.71342,122.62
male,64.66007,108.6044
male,65.73721,100.6617
female,68.42441,116.1397
male,68.88946,140.5293
female,68.27367,125.6907
male,69.18045,134.3329
female,72.60996,136.4649
male,66.04157,127.8822
female,69.2288,123.1361
female,68.87697,116.3375
female,66.46042,124.5581
male,69.30444,125.7853
male,67.58249,107.5905
male,69.41816,143.0236
female,67.46867,118.7434
male,66.44873,118.9856
female,68.76185,131.8744
male,63.76881,119.3691
female,69.03663,126.1223
male,66.48966,126.6122
female,66.74224,113.5597
female,67.69394,115.8413
female,66.69066,130.2738
male,67.02877,125.4542
male,65.91096,117.1655
male,70.0304,137.3184
female,69.26978,149.4447
male,70.07695,151.0695
female,64.90942,116.9994
male,69.68744,138.1787
female,67.56524,127.621
male,63.85529,120.7514
female,71.6189,144.2537
female,64.98993,105.7939
female,64.60759,120.1567
male,62.01666,109.0848
male,65.28516,125.971
male,67.70163,110.2325
female,70.85794,134.4706
male,68.17075,115.5067
female,67.45006,125.1086
male,71.04224,116.4113
female,67.83032,133.3944
male,67.15488,108.7478
female,68.30289,134.3986
female,65.41208,131.2085
female,68.66755,130.8318
male,70.06733,127.0838
male,69.13413,119.4067
male,67.02078,105.5616
female,65.52274,134.4733
male,70.19808,132.6897
female,67.66866,126.058
male,69.73257,126.3532
female,67.61719,142.3603
male,70.79589,124.5873
female,69.65804,122.3604
female,66.73277,123.2298
female,67.58008,131.4049
male,65.25317,124.3037
male,70.71387,128.3836
male,71.27374,136.853
female,66.55913,118.0569
male,68.04247,121.4969
female,68.11699,119.2811
male,71.2367,126.5545
female,66.92387,129.2477
male,71.10381,134.7804
female,69.41466,146.0725
female,69.16807,162.4109
female,68.57725,130.1885
male,69.60315,132.1941
male,69.05087,127.4591
male,68.28699,125.3466
female,69.25276,134.7559
male,68.23862,121.9395
female,67.6868,125.6688
male,68.84083,145.956
female,69.52061,119.9207
male,66.97668,111.5093
female,72.0053,138.676
female,67.44482,135.0151
female,66.06214,116.509
male,65.5747,123.9575
male,68.30171,136.952
male,71.02603,153.0797
female,70.76882,126.357
male,67.50812,145.0614
female,69.50936,135.1739
male,66.4455,108.806
female,68.5689,110.5155
male,67.01296,138.2685
female,68.70004,119.5111
female,68.23013,115.3214
female,70.40713,132.3684
male,65.69989,93.99438
male,65.7031,127.4051
male,68.48055,134.3024
female,66.62891,124.9721
male,66.84285,124.072
female,69.89734,133.5476
male,67.6543,134.1509
female,68.30917,130.2489
male,69.74848,138.0935
female,68.57906,126.6064
female,68.14477,131.8076
female,67.98093,131.7363
male,64.82535,117.6261
male,69.20785,126.1943
male,69.2656,127.5132
female,70.9403,142.4785
male,69.07826,139.444
female,66.20183,110.3204
male,71.05779,131.9541
female,68.99493,129.2037
male,70.96089,124.3513
female,66.02496,126.5251
female,69.8641,149.2303
female,66.82802,142.1577
male,69.09424,127.1436
male,66.81425,122.3353
male,67.13183,112.6659
female,64.57428,134.2647
male,68.68038,120.6936
female,67.53724,115.783
male,71.17732,128.6855
female,70.53514,134.7611
male,71.53411,118.3419
female,66.77301,106.1557
female,66.33636,126.3823
female,64.83095,114.3716
male,68.38247,130.2787
male,68.05038,123.3066
male,69.09149,122.8571
female,69.91046,125.6932
male,68.40737,111.7247
female,68.32559,125.5516
male,66.95555,119.9702
female,70.54816,132.6043
male,69.37805,132.6738
female,67.52012,117.4521
female,64.87142,101.8549
female,69.13396,128.4418
male,68.81192,134.0414
male,67.56446,127.7511
male,68.16772,127.6172
female,65.80687,139.3971
male,64.92276,113.9381
female,68.35584,147.5188
male,66.71546,132.6523
female,69.18196,132.8139
male,65.88795,105.0942
female,66.03733,127.5187
female,69.44194,130.7305
female,67.14847,128.5815
male,65.69442,122.5699
male,69.42723,157.2961
male,66.54503,121.1097
female,69.04469,147.5061
male,67.62036,117.493
female,69.59105,132.4472
male,68.12343,118.1774
female,71.22641,123.7319
male,66.43285,130.365
female,66.31808,122.8882
female,68.02724,107.8693
female,68.2876,118.591
male,66.91609,125.6467
male,71.77546,148.6016
male,66.04535,150.279
female,69.01455,127.0678
male,68.70744,128.7122
female,65.012,118.4233
male,66.05857,125.3879
female,71.16403,149.2676
male,67.55274,107.3484
female,68.83455,133.6992
female,68.11811,124.8508
female,67.90528,112.7028
male,67.64085,127.8407
male,69.78282,134.1615
male,67.99889,138.6031
female,69.41465,126.044
male,70.42989,129.5856
female,67.67519,134.1054
male,67.88036,106.1251
female,68.06905,127.0561
male,66.99435,121.9241
female,71.57689,150.7365
female,64.36564,116.0061
female,67.93011,125.4748
male,69.91863,131.6099
male,69.93864,129.0696
male,66.79766,129.1117
female,70.11119,148.1624
male,68.94814,105.388
female,68.02886,110.5447
male,69.36148,118.6402
female,68.44886,122.8151
male,65.70282,124.887
female,69.55674,135.7695
female,65.84635,116.4563
female,68.79983,125.3617
male,69.03835,133.122
male,67.36352,138.3328
male,70.35788,124.4972
female,69.88828,136.7205
male,65.15319,115.0153
female,69.40907,132.6366
male,68.50874,143.1323
female,65.71552,134.7422
male,63.98308,122.6246
female,70.07685,153.5634
female,68.42542,126.289
female,68.23665,134.7206
male,67.82856,134.5987
male,66.31277,118.3945
male,69.75128,121.2997
female,65.70901,132.2844
male,66.88227,139.0617
female,67.2791,110.698
male,70.63357,154.1073
female,69.9377,124.1592
male,65.87671,134.5173
female,72.44694,138.2622
female,70.07052,149.0801
female,67.68486,127.0075
male,66.1151,117.8222
male,69.94355,148.9096
male,68.24317,128.2151
female,68.80144,129.6944
male,66.61818,125.5674
female,70.18701,128.7947
male,65.58971,124.187
female,68.69566,151.4167
male,64.88639,106.9803
female,69.81993,145.6221
female,66.33962,121.5926
female,70.4434,130.9386
male,69.99163,135.6203
male,70.13617,123.9315
male,67.1793,131.9955
female,68.2034,117.484
male,67.76121,129.6577
female,64.79753,122.3706
male,66.47871,114.5867
female,66.98337,116.5401
male,65.69991,139.4307
female,66.82705,123.4822
female,66.35141,132.5492
female,70.13491,143.4013
male,70.11565,132.9429
male,64.56145,98.8972
male,68.15724,122.4342
female,67.1475,104.6767
male,70.88927,142.7847
female,68.16218,130.9283
male,71.19657,143.827
female,67.92444,142.2832
male,65.30204,107.9441
female,66.40756,105.6891
female,71.30647,125.4007
female,69.05997,106.4195
male,65.95442,118.5371
male,69.63776,136.7836
male,71.10495,145.9328
female,66.21851,129.637
male,66.13469,108.4955
female,67.7851,121.2537
male,66.67737,135.7399
female,69.99408,137.5026
male,71.1441,124.0052
female,68.63927,128.8613
female,69.08548,133.6811
female,67.97389,106.5185
male,65.94809,113.0398
male,66.02102,125.9639
male,71.23576,140.2945
female,67.52674,143.229
male,71.06935,145.8063
female,68.27178,128.1697
male,67.31932,134.1839
female,68.98848,140.2166
male,68.404,146.3453
female,67.092,132.0784
female,66.76866,122.13
female,65.64636,131.4693
male,65.34105,129.5167
male,68.18299,125.7451
male,70.65924,153.1384
female,65.94401,124.5559
male,69.62792,134.8225
female,68.29965,115.3877
male,70.06075,117.9618
female,68.43602,124.5647
male,69.27012,134.4043
female,67.70511,129.3092
female,70.89315,133.1423
female,70.54313,147.3609
male,71.58086,155.0132
male,68.42301,126.2905
male,69.35781,134.4605
female,70.445,134.0296
male,67.38153,128.9248
female,67.50767,123.0543
male,68.52054,112.1788
female,66.80858,111.7443
male,72.38532,148.4615
female,68.51642,136.7459
female,70.79791,133.2068
female,66.21905,116.8855
male,68.31167,124.8542
male,67.1715,121.5809
male,67.7714,123.197
female,67.47328,137.1255
male,67.77463,121.4941
female,69.20099,150.9398
male,70.04297,142.3009
female,70.56979,134.7527
male,66.45379,133.5585
female,67.68132,136.0895
female,65.75638,95.20216
female,69.3549,119.7404
male,70.5902,152.9146
male,67.27626,140.1991
male,68.48853,145.2503
female,67.02188,119.4855
male,65.77613,123.512
female,65.96579,110.6754
male,68.18868,111.4951
female,72.08595,139.4849
male,66.85358,133.088
female,69.10929,133.5196
female,64.5909,112.7698
female,67.03849,124.7975
male,68.99156,123.4224
male,70.59872,142.0921
male,70.08988,116.2814
female,65.6844,131.1256
male,67.0982,131.2493
female,66.03932,127.2422
male,69.26423,122.4523
female,66.61351,115.2431
male,68.11738,126.9532
female,69.73059,143.4439
female,64.02042,125.377
female,66.23753,109.0095
male,72.46761,139.2411
male,66.21938,102.182
male,71.2978,144.3898
female,63.1255,83.08527
male,70.93034,145.3938
female,68.25489,134.9267
male,64.78014,134.678
female,65.42982,111.4963
male,68.91361,119.7951
female,64.96937,95.70426
female,66.15237,117.159
female,65.98386,127.2356
male,69.2435,144.9205
male,68.31982,122.8464
male,70.11607,134.19
female,68.63521,124.9776
male,67.74289,135.8441
female,64.58641,120.8222
male,64.66165,125.0174
female,65.90771,133.5474
male,65.77649,124.5583
female,67.1506,135.9691
female,72.24339,143.5738
female,68.73199,130.5725
male,67.57019,127.192
male,70.36234,141.2372
male,63.62233,107.4236
female,66.20711,122.3234
male,66.22114,111.6055
female,70.0722,137.8915
male,69.6563,142.8742
female,66.25043,114.4349
male,68.0704,128.2736
female,67.14808,134.5725
female,68.76609,140.1034
female,68.12075,121.977
male,65.72987,111.4248
male,69.17439,135.0756
male,70.36351,132.9826
female,70.78557,117.7566
male,70.88083,134.9877
female,66.62148,151.6121
male,69.9829,128.9287
female,66.92866,120.1575
male,71.45806,125.6007
female,69.66344,127.8292
female,69.30943,136.1354
female,66.59775,116.2841
male,64.20209,127.0777
male,68.23051,125.7165
male,70.09021,121.0749
female,70.9755,122.7382
male,64.93134,119.4545
female,66.90106,132.9048
male,69.19803,132.8687
female,68.4149,124.3486
male,66.3163,132.2198
female,72.13467,142.804
female,65.74613,129.605
female,69.96677,128.5326
male,65.11417,112.9919
male,67.43294,122.0795
male,66.39785,118.396
female,67.18769,130.1299
male,67.68597,111.6824
female,67.77469,142.2452
male,63.62937,122.6049
female,66.447,122.8198
male,71.9233,119.1123
female,67.92214,139.4335
female,68.01143,141.3353
female,67.76524,119.787
male,69.19791,136.326
male,67.00109,118.4099
male,67.09659,137.692
female,69.85144,129.078
male,67.42782,123.4642
female,68.1104,115.4311
male,68.29433,129.931
female,69.45176,135.9563
male,69.08219,127.8134
female,70.91753,139.1014
female,64.20566,109.2132
female,71.10315,124.6154
male,72.08523,136.221
male,66.15119,120.4722
male,67.52898,116.1659
female,67.17586,115.5093
male,72.92955,141.9961
female,65.54112,135.4869
male,69.08487,135.1305
female,65.28991,108.2494
male,68.53447,125.1277
female,71.32802,142.8947
female,66.88095,128.2978
female,67.91196,128.268
male,67.00238,103.5665
male,68.27584,156.1069
male,66.20276,104.9661
female,64.24214,121.6365
male,67.43738,132.0066
female,64.50081,118.4079
male,68.89607,135.3898
female,70.32908,140.6633
male,64.31742,111.6703
female,67.11253,128.0328
female,68.01206,130.4737
female,68.25267,128.2127
male,67.76873,142.8202
male,67.44291,123.0804
male,65.73581,117.8771
female,69.64372,130.9274
male,71.92818,129.1735
female,69.39435,144.5784
male,67.14717,115.8635
female,69.1469,116.5322
male,66.90594,141.9947
female,67.838,132.1304
female,68.09614,135.2607
female,66.14093,127.0684
male,71.16386,129.844
male,67.55757,134.5066
male,70.01279,121.3609
female,72.56431,143.1486
male,66.60224,124.7741
female,68.51802,120.1546
male,66.34638,139.4163
female,69.02692,131.6743
male,69.12446,131.07
female,68.24578,129.8914
female,68.4869,123.344
female,70.68261,137.5314
male,70.35969,136.8886
male,67.62401,118.4024
male,69.4463,116.2441
female,67.92486,124.8433
male,68.39347,120.9809
female,66.31812,105.1208
male,71.22882,145.4377
female,65.29169,108.1912
male,66.00287,130.3778
female,67.61775,117.5157
female,69.10276,135.8762
female,68.99743,127.5126
male,69.07531,151.3998
male,68.34086,112.4799
male,71.68196,156.7554
female,68.77664,138.2098
male,66.18191,109.5685
female,72.37092,139.9742
male,66.85155,124.5873
female,65.75688,130.5023
male,69.69245,151.0783
female,66.27915,108.7722
female,66.47752,105.9927
female,68.71912,143.4301
male,68.29244,114.7434
male,67.66696,123.7736
male,71.29885,139.4769
female,67.07369,115.8201
male,70.68048,146.5682
female,71.40114,153.9993
male,71.00392,137.5899
female,66.2799,125.9287
male,68.05383,139.6939
female,64.16346,126.3585
female,66.87966,113.9307
female,70.52968,129.7605
male,65.45595,116.1925
male,69.11331,139.1294
male,67.94221,126.9815
female,67.2132,125.8352
male,67.6372,113.524
female,70.09365,123.2372
male,64.41354,123.0554
female,69.77698,128.133
male,66.58181,127.9357
female,68.14995,110.4678
female,66.18165,127.9364
female,66.79412,118.1678
male,67.1657,129.7243
male,68.01904,130.6094
male,66.95837,105.0414
female,68.70397,122.6299
male,69.68057,138.3259
female,66.52793,107.7381
male,66.46981,141.4417
female,71.44643,153.6966
male,66.62648,134.5551
female,64.01015,109.6593
female,65.03312,117.2029
female,66.77216,124.2843
male,68.91932,125.2193
male,71.22926,133.2256
male,71.10332,122.6042
female,69.80699,134.8652
male,67.09127,111.4506
female,67.27958,116.8458
male,71.86593,143.1527
female,67.20197,99.92383
male,68.44108,127.9232
female,67.20278,136.658
female,69.36588,145.3947
female,69.0416,126.6818
male,65.9056,128.1983
male,66.44766,122.8328
male,66.08009,133.2571
female,69.35367,116.7606
male,70.83359,144.0455
female,67.664,132.5153
male,65.30966,123.9832
female,66.66817,113.1423
male,66.93271,123.9512
female,67.73938,133.9787
female,64.27722,128.1519
female,66.83442,121.2878
male,65.89728,122.7107
male,67.6564,125.4136
male,68.68966,124.8761
female,66.08003,116.5903
male,66.91344,129.889
female,69.48392,123.889
male,68.60001,137.6571
female,69.21225,130.8805
male,67.63342,141.9706
female,65.73405,125.7334
female,66.09947,104.4108
female,67.65293,117.0685
male,67.59619,131.7669
male,69.57859,125.4738
male,66.08879,129.5734
female,70.08026,130.1053
male,65.00956,131.9305
female,69.16464,142.4645
male,69.61276,127.6431
female,71.48367,153.3153
male,69.47413,126.7609
female,69.0027,114.0258
female,69.5581,133.9684
female,68.63746,127.5869
male,67.20262,126.4859
male,66.07614,120.7651
male,66.18342,126.6479
female,70.80778,133.0747
male,67.158,125.9649
female,65.2973,121.3206
male,69.23494,129.7824
female,68.90768,130.0549
male,72.3478,123.4005
female,68.29557,137.2791
female,68.34735,127.7554
female,67.46476,133.6853
male,68.86803,113.9275
male,66.62471,135.6168
male,64.77193,122.6005
female,67.70647,118.9472
male,72.992,134.2703
female,70.95194,124.2747
male,67.95677,130.6981
female,67.20959,124.6797
male,66.36959,129.0839
female,67.63896,121.9456
female,69.74444,126.2689
female,68.17532,134.6122
male,66.89711,131.8476
male,67.4966,103.5828
male,66.51569,116.3925
female,66.88332,123.5095
male,69.7277,150.3395
female,69.78345,135.2437
male,65.40046,112.4584
female,67.99831,137.4861
male,72.25581,132.7902
female,70.79562,126.0286
female,65.18786,141.3591
female,67.7123,135.9065
male,70.05146,134.6655
male,67.30497,122.0232
male,66.39813,128.3502
female,69.73637,130.6354
male,68.71659,131.717
female,63.88437,108.6132
male,68.40851,114.5673
female,67.93251,133.5136
male,70.69674,135.8641
female,68.95083,148.1093
female,66.49457,123.5179
female,68.59369,120.8406
male,66.26442,116.2666
male,69.58656,123.8986
male,67.35651,119.32
female,69.68727,119.4097
male,68.44046,124.5933
female,68.47973,130.8802
male,65.45463,118.2058
female,66.8085,109.6357
male,70.05212,140.2298
female,67.43558,121.5764
female,66.54306,98.30262
female,67.32353,117.6173
male,67.9725,136.5104
male,69.03858,148.9791
male,67.69453,123.9665
female,69.30508,133.5957
male,65.39643,117.2334
female,68.35638,123.5943
male,65.36888,117.7674
female,68.36499,137.2321
male,71.15702,129.1996
female,69.25532,142.4032
female,66.6984,128.4838
female,69.17548,115.3008
male,68.31559,119.5309
male,67.81616,121.7224
male,68.56123,142.8442
female,66.23085,110.1171
male,68.95099,122.0958
female,67.86761,124.8188
male,68.05498,119.3169
female,67.73986,132.4571
male,69.83641,133.0316
female,70.68574,160.8831
female,64.54385,119.127
female,67.93112,138.516
male,67.77291,124.8232
male,69.41312,135.9744
male,67.77213,116.2254
female,67.79965,139.2002
male,67.98313,137.983
female,69.97983,144.5084
male,63.83261,109.1938
female,65.57212,127.228
male,69.34307,124.5517
female,67.28398,114.926
female,68.7435,132.5027
female,69.03112,125.3892
male,69.64426,128.4988
male,66.70052,117.7319
male,67.9143,112.9531
female,64.36849,126.1835
male,65.87507,118.7934
female,67.07427,125.4388
male,69.34545,124.9451
female,69.83212,145.5139
male,66.10245,116.7836
female,69.26205,132.5216
female,68.33525,114.8933
female,69.38017,122.8594
male,69.12887,130.5782
male,68.44658,119.1058
male,66.34542,133.8204
female,70.03275,128.5779
male,70.16523,139.0179
female,68.18324,101.2876
male,70.12378,140.958
female,68.4296,134.6146
male,66.43974,129.9482
female,71.72703,139.064
female,70.72387,135.1996
female,68.09022,129.682
male,70.12976,129.1395
male,66.05393,129.0051
male,69.77059,112.7357
female,68.15816,126.1123
male,69.91372,118.3724
female,65.34461,122.9731
male,68.35621,130.3663
female,64.50585,114.226
male,67.95491,115.7854
female,68.57621,137.9526
female,68.12257,112.2435
female,68.77583,137.237
male,67.92593,124.9418
male,69.1484,135.0961
male,63.20539,114.4199
female,69.2442,122.1823
male,65.88645,129.375
female,67.85186,129.9448
male,65.57418,140.4557
female,66.70819,120.8977
male,69.172,129.159
female,69.23593,137.1397
female,67.57232,145.2218
female,69.50518,140.0956
male,70.60288,124.12
male,66.54152,135.6875
male,69.11494,127.756
female,69.951,144.0475
male,67.70347,131.9333
female,69.19028,135.5263
male,67.8047,151.3579
female,67.62532,124.7073
male,70.36898,135.274
female,71.02595,136.5388
female,69.8452,137.8778
female,67.08638,114.2066
male,68.62013,141.5844
male,64.37275,111.0969
male,65.93523,126.3868
female,65.24285,132.8885
male,70.51481,144.7904
female,66.61129,108.3859
male,67.13394,124.1348
female,66.77634,129.4462
male,67.69385,131.3339
female,67.82809,111.6411
female,66.63254,111.6422
female,67.62229,140.3178
male,69.66798,125.5286
male,62.75039,114.49
male,64.53878,113.998
female,68.01929,117.1931
male,66.38551,138.3156
female,70.18724,122.3712
male,64.646,132.9431
female,67.48819,124.0449
male,72.01807,144.1591
female,66.61356,115.4581
female,65.81803,116.5192
female,71.16185,139.6139
male,68.51977,133.2364
male,64.96088,120.025
male,66.88268,123.1111
female,70.3531,132.8462
male,67.71744,120.9359
female,66.03333,129.7702
male,68.9826,136.9118
female,68.60237,131.121
male,66.8408,133.484
female,68.03659,136.3871
female,64.79586,131.4559
female,70.55126,126.1986
male,68.28166,115.046
male,68.77574,130.3178
male,67.09315,131.6954
female,70.14303,135.6519
male,65.46833,120.3029
female,69.02275,129.1442
male,74.24899,150.2167
female,64.08575,120.2076
male,67.57977,132.153
female,69.19395,132.1247
female,64.48615,119.5029
female,68.75888,136.7629
male,68.45184,147.7846
male,66.44205,145.5992
male,70.1756,124.9662
female,67.1386,127.902
male,66.91548,125.9147
female,68.63357,109.6821
male,66.95697,107.7733
